s transe;p transe;o transe;head rank transe;tail rank transe;s conve;p conve;o conve;head rank conve;tail rank conve;s complex;p complex;o complex;head rank complex;tail rank complex
infanta_luisa_fernanda_duchess_of_montpensier;child;princess_marie_isabelle_of_orl_ans;422;1124;infanta_luisa_fernanda_duchess_of_montpensier;child;princess_marie_isabelle_of_orl_ans;2;3;infanta_luisa_fernanda_duchess_of_montpensier;child;princess_marie_isabelle_of_orl_ans;1;1
maria_josepha_of_saxony_dauphine_of_france;child;marie_z_phyrine_of_france;144;1124;maria_josepha_of_saxony_dauphine_of_france;child;marie_z_phyrine_of_france;111;1041;maria_josepha_of_saxony_dauphine_of_france;child;marie_z_phyrine_of_france;423;1753
john_i_duke_of_lorraine;child;charles_ii_duke_of_lorraine;1050;1139;john_i_duke_of_lorraine;child;charles_ii_duke_of_lorraine;320;1616;john_i_duke_of_lorraine;child;charles_ii_duke_of_lorraine;144;259
charlotte_of_savoy;child;joan_of_france_duchess_of_berry;532;1199;charlotte_of_savoy;child;joan_of_france_duchess_of_berry;2;10;charlotte_of_savoy;child;joan_of_france_duchess_of_berry;1;5
louis_duke_of_savoy;child;marie_of_savoy_countess_of_saint_pol;143;1234;louis_duke_of_savoy;child;marie_of_savoy_countess_of_saint_pol;1;7;louis_duke_of_savoy;child;marie_of_savoy_countess_of_saint_pol;1;1
isabella_i_of_castile;child;john_prince_of_asturias;342;1246;isabella_i_of_castile;child;john_prince_of_asturias;2;23;isabella_i_of_castile;child;john_prince_of_asturias;1;1
maria_theresa;child;archduchess_maria_josepha_of_austria;37;1249;maria_theresa;child;archduchess_maria_josepha_of_austria;1;5;maria_theresa;child;archduchess_maria_josepha_of_austria;1;1
ecgberht_king_of_wessex;child;_thelwulf_king_of_wessex;66;1281;ecgberht_king_of_wessex;child;_thelwulf_king_of_wessex;1;1;ecgberht_king_of_wessex;child;_thelwulf_king_of_wessex;1;1
louise__lisabeth_of_france;child;ferdinand_duke_of_parma;244;1283;louise__lisabeth_of_france;child;ferdinand_duke_of_parma;54;1232;louise__lisabeth_of_france;child;ferdinand_duke_of_parma;502;1667
maximilian_ii_holy_roman_emperor;child;archduke_ernest_of_austria;56;1290;maximilian_ii_holy_roman_emperor;child;archduke_ernest_of_austria;1;5;maximilian_ii_holy_roman_emperor;child;archduke_ernest_of_austria;1;1
theodoric_ii_duke_of_lorraine;child;simon_i_duke_of_lorraine;551;1340;theodoric_ii_duke_of_lorraine;child;simon_i_duke_of_lorraine;1;2;theodoric_ii_duke_of_lorraine;child;simon_i_duke_of_lorraine;1;1
robert_ii_of_scotland;child;thomas_stewart_bishop_of_st_andrews;348;1355;robert_ii_of_scotland;child;thomas_stewart_bishop_of_st_andrews;406;956;robert_ii_of_scotland;child;thomas_stewart_bishop_of_st_andrews;61;1512
joan_ii_of_navarre;child;louis_duke_of_durazzo;319;1406;joan_ii_of_navarre;child;louis_duke_of_durazzo;1;8;joan_ii_of_navarre;child;louis_duke_of_durazzo;2;1
jacquetta_of_luxembourg;child;catherine_woodville_duchess_of_buckingham;102;1408;jacquetta_of_luxembourg;child;catherine_woodville_duchess_of_buckingham;19;1029;jacquetta_of_luxembourg;child;catherine_woodville_duchess_of_buckingham;4;300
james_i_of_scotland;child;mary_stewart_countess_of_buchan;348;1415;james_i_of_scotland;child;mary_stewart_countess_of_buchan;792;1175;james_i_of_scotland;child;mary_stewart_countess_of_buchan;97;1284
pepin_of_herstal;child;grimoald_the_younger;120;1416;pepin_of_herstal;child;grimoald_the_younger;1;5;pepin_of_herstal;child;grimoald_the_younger;1;1
yolanda_latin_empress;child;henry_ii_of_namur;257;1429;yolanda_latin_empress;child;henry_ii_of_namur;29;1281;yolanda_latin_empress;child;henry_ii_of_namur;73;1565
francis_i_holy_roman_emperor;child;ferdinand_karl_archduke_of_austria_este;5;1433;francis_i_holy_roman_emperor;child;ferdinand_karl_archduke_of_austria_este;1;1;francis_i_holy_roman_emperor;child;ferdinand_karl_archduke_of_austria_este;1;1
joanna_of_castile;child;ferdinand_i_holy_roman_emperor;335;1451;joanna_of_castile;child;ferdinand_i_holy_roman_emperor;8;2;joanna_of_castile;child;ferdinand_i_holy_roman_emperor;1;1
charlotte_of_bourbon_queen_of_cyprus;child;john_ii_of_cyprus;512;1485;charlotte_of_bourbon_queen_of_cyprus;child;john_ii_of_cyprus;1622;1315;charlotte_of_bourbon_queen_of_cyprus;child;john_ii_of_cyprus;1572;2121
afonso_iv_of_portugal;child;peter_i_of_portugal;230;1509;afonso_iv_of_portugal;child;peter_i_of_portugal;1;1;afonso_iv_of_portugal;child;peter_i_of_portugal;1;1
elizabeth_of_austria_1436_1505;child;vladislaus_ii_of_hungary;360;1538;elizabeth_of_austria_1436_1505;child;vladislaus_ii_of_hungary;355;2440;elizabeth_of_austria_1436_1505;child;vladislaus_ii_of_hungary;50;894
margaret_of_brabant;child;john_of_bohemia;147;1538;margaret_of_brabant;child;john_of_bohemia;1;1;margaret_of_brabant;child;john_of_bohemia;1;1
rudolf_i_of_germany;child;hedwig_of_habsburg;41;1541;rudolf_i_of_germany;child;hedwig_of_habsburg;1;6;rudolf_i_of_germany;child;hedwig_of_habsburg;1;2
louis_vii_of_france;child;alix_of_france;232;1546;louis_vii_of_france;child;alix_of_france;85;206;louis_vii_of_france;child;alix_of_france;2;14
beatrice_of_silesia;child;louis_v_duke_of_bavaria;416;1557;beatrice_of_silesia;child;louis_v_duke_of_bavaria;16;18;beatrice_of_silesia;child;louis_v_duke_of_bavaria;2;8
barbara_jagiellon;child;magdalena_of_saxony;124;1559;barbara_jagiellon;child;magdalena_of_saxony;137;960;barbara_jagiellon;child;magdalena_of_saxony;105;703
philip_iii_of_spain;child;infante_carlos_of_spain_1607_1632;526;1571;philip_iii_of_spain;child;infante_carlos_of_spain_1607_1632;1;4;philip_iii_of_spain;child;infante_carlos_of_spain_1607_1632;1;1
henry_ii_of_france;child;claude_of_france_1547_1575;75;1584;henry_ii_of_france;child;claude_of_france_1547_1575;7;23;henry_ii_of_france;child;claude_of_france_1547_1575;2;1
yolanda_latin_empress;child;elisabeth_of_courtenay;159;1589;yolanda_latin_empress;child;elisabeth_of_courtenay;36;1032;yolanda_latin_empress;child;elisabeth_of_courtenay;69;1546
dirk_iii_count_of_holland;child;floris_i_count_of_holland;257;1628;dirk_iii_count_of_holland;child;floris_i_count_of_holland;1;2;dirk_iii_count_of_holland;child;floris_i_count_of_holland;1;1
alfonso_x_of_castile;child;fernando_de_la_cerda_1255_1275;6;1630;alfonso_x_of_castile;child;fernando_de_la_cerda_1255_1275;8;997;alfonso_x_of_castile;child;fernando_de_la_cerda_1255_1275;44;1067
bona_of_savoy;child;bianca_maria_sforza;495;1668;bona_of_savoy;child;bianca_maria_sforza;1979;1629;bona_of_savoy;child;bianca_maria_sforza;461;1582
william_the_younger_duke_of_brunswic_l_neburg;child;frederick_iv_duke_of_brunswic_l_neburg;42;1668;william_the_younger_duke_of_brunswic_l_neburg;child;frederick_iv_duke_of_brunswic_l_neburg;223;1088;william_the_younger_duke_of_brunswic_l_neburg;child;frederick_iv_duke_of_brunswic_l_neburg;30;893
afonso_iii_of_portugal;child;sancha_of_portugal_born_1264;233;1669;afonso_iii_of_portugal;child;sancha_of_portugal_born_1264;1;1020;afonso_iii_of_portugal;child;sancha_of_portugal_born_1264;79;1212
claude_of_france;child;henry_ii_of_france;745;1681;claude_of_france;child;henry_ii_of_france;9;5;claude_of_france;child;henry_ii_of_france;1;1
victor_amadeus_iii_of_sardinia;child;prince_giuseppe_count_of_asti;118;1707;victor_amadeus_iii_of_sardinia;child;prince_giuseppe_count_of_asti;1;4;victor_amadeus_iii_of_sardinia;child;prince_giuseppe_count_of_asti;1;1
saint_margaret_of_scotland;child;ethelred_of_scotland;321;1721;saint_margaret_of_scotland;child;ethelred_of_scotland;115;1234;saint_margaret_of_scotland;child;ethelred_of_scotland;8;469
saint_margaret_of_scotland;child;matilda_of_scotland;307;1726;saint_margaret_of_scotland;child;matilda_of_scotland;3;5;saint_margaret_of_scotland;child;matilda_of_scotland;2;1
maria_of_austria_holy_roman_empress;child;rudolf_ii_holy_roman_emperor;303;1727;maria_of_austria_holy_roman_empress;child;rudolf_ii_holy_roman_emperor;1;2;maria_of_austria_holy_roman_empress;child;rudolf_ii_holy_roman_emperor;1;1
charles_ix_of_france;child;marie_elisabeth_of_france;671;1732;charles_ix_of_france;child;marie_elisabeth_of_france;90;112;charles_ix_of_france;child;marie_elisabeth_of_france;10;2
charles_emmanuel_iii_of_sardinia;child;princess_eleonora_of_savoy;69;1733;charles_emmanuel_iii_of_sardinia;child;princess_eleonora_of_savoy;38;1449;charles_emmanuel_iii_of_sardinia;child;princess_eleonora_of_savoy;25;718
maria_theresa_of_naples_and_sicily;child;archduke_franz_karl_of_austria;147;1768;maria_theresa_of_naples_and_sicily;child;archduke_franz_karl_of_austria;1;3;maria_theresa_of_naples_and_sicily;child;archduke_franz_karl_of_austria;1;1
alfonso_ii_of_aragon;child;constance_of_aragon;145;1779;alfonso_ii_of_aragon;child;constance_of_aragon;1820;1407;alfonso_ii_of_aragon;child;constance_of_aragon;285;2155
ferdinand_i_holy_roman_emperor;child;archduchess_magdalena_of_austria;9;1820;ferdinand_i_holy_roman_emperor;child;archduchess_magdalena_of_austria;253;871;ferdinand_i_holy_roman_emperor;child;archduchess_magdalena_of_austria;95;1780
louis_xiv;child;louis_auguste_duke_of_maine;45;1849;louis_xiv;child;louis_auguste_duke_of_maine;522;1095;louis_xiv;child;louis_auguste_duke_of_maine;771;2551
ferdinand_i_of_the_two_sicilies;child;maria_cristina_of_naples_and_sicily;71;1854;ferdinand_i_of_the_two_sicilies;child;maria_cristina_of_naples_and_sicily;1701;1212;ferdinand_i_of_the_two_sicilies;child;maria_cristina_of_naples_and_sicily;106;1159
maria_theresa_of_spain;child;philippe_charles_duke_of_anjou;847;1859;maria_theresa_of_spain;child;philippe_charles_duke_of_anjou;605;1062;maria_theresa_of_spain;child;philippe_charles_duke_of_anjou;247;960
